row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source
680,3357,NA DI,นาดี,3196,MUEANG UDON THANI,เมืองอุดรธานี,3195,Udon Thani,อุดรธานี,4.0,22.0,12.0,28.0,20.0,20.0,0.0,0.0,0.0,0.0,48.0,93.0,82.0,81.0,79.0,76.0,baania
25,2526,MAE SAI,แม่สาย,2521,MAE SAI,แม่สาย,2411,Chiang Rai,เชียงราย,28.0,15.0,25.0,59.0,66.0,46.0,0.0,0.0,0.0,0.0,74.0,80.0,95.0,100.0,98.0,92.0,baania
471,3481,NONG LALOK,หนองละลอก,3474,BAN KHAI,บ้านค่าย,3431,Rayong,ระยอง,14.0,28.0,13.0,26.0,16.0,23.0,0.0,0.0,0.0,0.0,60.0,78.0,68.0,69.0,63.0,69.0,baania
648,4577,LAT KHWANG,ลาดขวาง,4566,BAN PHO,บ้านโพธิ์,4510,Chachoengsao,ฉะเชิงเทรา,23.0,39.0,1.0,51.0,23.0,39.0,0.0,0.0,0.0,0.0,81.0,84.0,50.0,77.0,86.0,78.0,baania
537,9270,PHATONG,พะตง,9257,HAT YAI,หาดใหญ่,9128,Songkhla,สงขลา,6.0,37.0,1.0,20.0,17.0,17.0,0.0,0.0,0.0,0.0,72.0,98.0,55.0,85.0,43.0,77.0,baania
16,3640,KHU KHOT,คูคต,3638,LAM LUK KA,ลำลูกกา,3599,Pathum Thani,ปทุมธานี,95.0,73.0,87.0,100.0,100.0,95.0,0.0,98.0,0.0,39.0,100.0,100.0,99.0,100.0,97.0,100.0,baania
184,5380,KHLANG,คลัง,5378,MUEANG NAKHON SI THAMMARAT,เมืองนครศรีธรรมราช,5377,Nakhon Si Thammarat,นครศรีธรรมราช,34.0,77.0,66.0,86.0,75.0,72.0,0.0,0.0,0.0,0.0,97.0,100.0,100.0,100.0,100.0,99.0,baania
393,3809,BANG KHO,บางค้อ,3806,CHOM THONG,จอมทอง,3781,Bangkok,กรุงเทพมหานคร,86.0,84.0,86.0,100.0,100.0,94.0,100.0,92.0,65.0,90.0,100.0,70.0,100.0,86.0,85.0,88.0,baania
444,3666,NONG SAM WANG,หนองสามวัง,3659,NONG SUEA,หนองเสือ,3599,Pathum Thani,ปทุมธานี,1.0,1.0,1.0,80.0,1.0,41.0,0.0,1.0,0.0,0.0,100.0,45.0,55.0,91.0,18.0,77.0,baania
541,3940,CHONG NONSI,ช่องนนทรี,3939,YAN NAWA,ยานนาวา,3781,Bangkok,กรุงเทพมหานคร,92.0,98.0,92.0,100.0,100.0,98.0,71.0,98.0,17.0,71.0,100.0,78.0,100.0,93.0,100.0,94.0,baania
218,9260,KHLONG U TAPHAO,คลองอู่ตะเภา,9257,HAT YAI,หาดใหญ่,9128,Songkhla,สงขลา,1.0,35.0,27.0,57.0,54.0,41.0,0.0,0.0,0.0,0.0,67.0,94.0,94.0,93.0,100.0,89.0,baania
