row_number,gid,line_no,railway,line_typt,line_type,status,line_th,line_en,station_th,station_en,latitude,longitude,prov_namt,prov_name,amp_namt,amp_name,tam_namt,tam_name
2,174,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ราชปรารภ,Ratchaprarop,13.75497560,100.54217580,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ถนนพญาไท,THANON PHAYA THAI
167,207,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,หลักหก,Lak Hok,13.96611600,100.60532200,ปทุมธานี,PATHUM THANI,ลำลูกกา,LAM LUK KA,คูคต,KHU KHOT
131,283,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,ชลประทาน,Royal Irrigation Department,13.89869500,100.50703000,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,บางตลาด,BANG TALAT
315,142,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,มไหสวรรย์,มไหสวรรย์,13.70568100,100.48598400,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,สำเหร่,SAMRE
316,123,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,แยกนนทบุรี-1,Yaek Nonthaburi 1,13.86636700,100.49336000,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางกระสอ,BANG KRASO
212,261,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,เลี่ยงเมืองปากเกร็ด,Pak Kret Bypass,13.90596100,100.52083500,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,บางพูด,BANG PHUT
120,242,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,ฉลองรัช,ฉลองรัช,13.78529700,100.61075200,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คลองเจ้าคุณสิงห์,KHLONG CHAOKHUN SING
31,171,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,สามเสน,Sam Sen,13.77849200,100.50813500,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,วชิรพยาบาล,WACHIRA PHAYABAN
252,122,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,บางกระสอ,Bang Krasor,13.86139000,100.50561700,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,ตลาดขวัญ,TALAT KHWAN
24,36,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,พระโขนง,Phra Khanong,13.71519700,100.59126800,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,พระโขนงเหนือ,PHRA KHANONG NUEA
129,263,10,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,ปัจจุบัน,สายสีชมพู,Pink Line,ศรีรัช,Si Rat,13.89776900,100.54729800,นนทบุรี,NONTHABURI,ปากเกร็ด,PAK KRET,บางตลาด,BANG TALAT
300,4,1,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสุขุมวิท,Sukhumvit Line,คลองสาม,Khlong Sam,13.93215600,100.66188900,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,สายไหม,SAI MAI
184,138,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,วังบูรพา,วังบูรพา,13.74756800,100.50333200,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,วัดราชบพิธ,WAT RATCHABOPHIT
61,169,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,ราชวิถี,ราชวิถี,13.77000636,100.52750630,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ทุ่งพญาไท,THUNG PHAYA THAI
179,31,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,นานา,Nana,13.74053700,100.55539300,กรุงเทพมหานคร,BANGKOK,วัฒนา,VADHANA,คลองเตยเหนือ,KHLONG TOEI NUEA
1,16,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.84209100,100.57699700,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
187,69,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,บางหว้า,Bang Wa,13.72049600,100.45813300,กรุงเทพมหานคร,BANGKOK,ภาษีเจริญ,PHASI CHAROEN,บางหว้า,BANG WA
17,6,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,แยก-คปอ.,Yaek Kor Por Aor,13.92494200,100.62584000,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คลองถนน,KHLONG THANON
104,100,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,หัวลำโพง,Hua Lamphong,13.73787600,100.51615400,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,รองเมือง,RONG MUEANG
77,17,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,เสนานิคม,Sena Nikhom,13.83566400,100.57322800,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
283,289,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,วัชรพล,Watcharaphon,13.85092700,100.63967800,กรุงเทพมหานคร,BANGKOK,บึงกุ่ม,BUENG KUM,นวลจันทร์,NUAN CHAN
218,135,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,หอสมุดแห่งชาติ,หอสมุดแห่งชาติ,13.77199300,100.50540200,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,วชิรพยาบาล,WACHIRA PHAYABAN
258,244,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,ลาดพร้าว-101,Lat Phrao 101,13.77515600,100.62897070,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,คลองเจ้าคุณสิงห์,KHLONG CHAOKHUN SING
11,136,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,บางขุนพรหม,บางขุนพรหม,13.76351700,100.49905400,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,บวรนิเวศ,BOWON NIWET
119,240,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,ภาวนา,Phawana,13.80072670,100.58313840,กรุงเทพมหานคร,BANGKOK,ห้วยขวาง,HUAI KHWANG,สามเสนนอก,SAM SEN NOK
116,49,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,แพรกษา,Phraek Sa,13.58398800,100.60770600,สมุทรปราการ,SAMUT PRAKAN,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,ในคลองบางปลากด,NAI KHLONG BANG PLA KOT
90,65,2,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีลม,Silom Line,วงเวียนใหญ่,Wongwian Yai,13.72108700,100.49520500,กรุงเทพมหานคร,BANGKOK,ธนบุรี,THON BURI,บางยี่เรือ,BANG YI RUEA
201,164,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,บ้านฉิมพลี,Ban Chimphli,13.79914000,100.42020200,กรุงเทพมหานคร,BANGKOK,ตลิ่งชัน,TALING CHAN,ฉิมพลี,CHIMPHLI
219,178,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,จอมทอง,Chom Thong,13.70415361,100.46861540,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,บางค้อ,BANG KHO
237,157,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,หัวหมาก,Hua Mak,13.73813300,100.64221600,กรุงเทพมหานคร,BANGKOK,สวนหลวง,PHATTHANAKAN,พัฒนาการ,SUAN LUANG
142,154,5,รถไฟฟ้า,แอร์พอร์ต-เรล-ลิงค์,Airport-Rail-Link,ปัจจุบัน,แอร์พอร์ต เรล ลิงค์,Airport Rail Link,ท่าอากาศยานสุวรรณภูมิ,Suvarnabhumi Airport,13.70478700,100.75419300,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,ราชาเทวะ,RACHA THEWA
159,27,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,ราชเทวี,Ratchathewi,13.75186100,100.53157000,กรุงเทพมหานคร,BANGKOK,ราชเทวี,RATCHATHEWI,ถนนเพชรบุรี,THANON PHET BURI
76,187,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,ตากสิน,Taksin,13.71180400,100.47231400,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,บางค้อ,BANG KHO
88,131,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีม่วง,Purple Line,คลองบางไผ่,Khlong Bang Phai,13.89813400,100.40787900,นนทบุรี,NONTHABURI,บางบัวทอง,BANG BUA THONG,บางรักพัฒนา,BANG RAK PHATTHANA
75,193,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,บ้านขอม,บ้านขอม,13.56745700,100.30347700,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,Mueang Samut Sakhon,โคกขาม,Khok Kham
298,7,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,พิพิธภัณฑ์กองทัพอากาศ,Royal Thai Air Force Museum,13.91782900,100.62163700,กรุงเทพมหานคร,BANGKOK,สายไหม,SAI MAI,คลองถนน,KHLONG THANON
317,161,6,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงอ่อน,Light Red Line,บางซ่อน,Bang Son,13.82182900,100.53469800,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,บางซื่อ,BANG SUE
173,179,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,วัดไทร,Wat Sai,13.69435900,100.45921700,กรุงเทพมหานคร,BANGKOK,จอมทอง,CHOM THONG,บางขุนเทียน,BANG KHUN THIAN
151,285,11,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีทอง,Gold line,สถานีประชาธิปก,สถานีประชาธิปก,13.73343080,100.49896060,กรุงเทพมหานคร,BANGKOK,คลองสาน,KHLONG SAN,สมเด็จเจ้าพระยา,SOMDET CHAOPHRAYA
134,302,12,รถไฟฟ้า,บีทีเอส,BTS,อนาคต,สายสีเทา,Grey Line,พระราม-4,Rama IV,13.71349100,100.58000400,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
289,82,3,รถไฟฟ้า,เอ็มอาร์ที,MRT,ปัจจุบัน,สายสีน้ำเงิน,Blue Line,เตาปูน,Tao Poon,13.80636100,100.53018800,กรุงเทพมหานคร,BANGKOK,บางซื่อ,BANG SUE,บางซื่อ,BANG SUE
253,32,1,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสุขุมวิท,Sukhumvit Line,อโศก,Asok,13.73704500,100.56034400,กรุงเทพมหานคร,BANGKOK,คลองเตย,KHLONG TOEI,คลองเตย,KHLONG TOEI
35,177,6,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงอ่อน,Light Red Line,บางขุนนนท์,บางขุนนนท์,13.76282180,100.47322580,กรุงเทพมหานคร,BANGKOK,บางกอกน้อย,BANGKOK NOI,บางขุนนนท์,BANG KHUN NON
33,292,12,รถไฟฟ้า,บีทีเอส,BTS,ปัจจุบัน,สายสีเทา,Grey Line,โยธินพัฒนา,Yothin Phatthana,13.81624300,100.62264700,กรุงเทพมหานคร,BANGKOK,ลาดพร้าว,LAT PHRAO,ลาดพร้าว,LAT PHRAO
48,183,7,รถไฟฟ้า,เอสอาร์ที,SRT,อนาคต,สายสีแดงเข้ม,Dark Red Line,รางโพธิ์,Rang Pho,13.64358500,100.40327000,กรุงเทพมหานคร,BANGKOK,บางบอน,BANG BON,บางบอนเหนือ,BANG BON NUEA
290,248,9,รถไฟฟ้า,เอ็มอาร์ทีเอ,MRT,อนาคต,สายสีเหลือง,Yellow Line,พัฒนาการ,Phatthanakan,13.73913200,100.64208200,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK
302,132,4,รถไฟฟ้า,เอ็มอาร์ที,MRT,อนาคต,สายสีม่วง,Purple Line,เกียกกาย,เกียกกาย,13.79685700,100.52098700,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,ถนนนครไชยศรี,THANON NAKHON CHAISI
210,201,7,รถไฟฟ้า,เอสอาร์ที,SRT,ปัจจุบัน,สายสีแดงเข้ม,Dark Red Line,วัดเสมียนนารี,Wat Samian Nari,13.83987000,100.55678000,กรุงเทพมหานคร,BANGKOK,จตุจักร,CHATUCHAK,ลาดยาว,LAT YAO
