row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest
129,2017,6,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,415,6767
2989,2016,12,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,บ้าน,Detached House,169,553
605,2019,12,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,18,36
1769,2017,4,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,อาคารพาณิชย์,Commercial,64,602
2355,2019,7,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,49,227
3151,2020,2,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,121,1610
768,2017,7,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,990,7681
740,2017,2,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,2381,34167
3010,2021,8,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,ทาวน์โฮม,Townhome,14,93
543,2016,11,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,88,483
2808,2021,11,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,ทาวน์โฮม,Townhome,7,17
820,2021,9,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,คอนโด,Condo,4,91
3210,2017,3,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,โฮมออฟฟิศ,Home office,365,2872
2755,2016,11,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,BANGKOK YAI,ทาวน์โฮม,Townhome,176,1621
2366,2020,9,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,คอนโด,Condo,20,99
2352,2020,3,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,โฮมออฟฟิศ,Home office,71,1777
1051,2020,7,กรุงเทพมหานคร,Bangkok,ลาดกระบัง,LAT KRABANG,บ้าน,Detached House,83,298
456,2016,12,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,487,2014
2098,2017,11,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,อาคารพาณิชย์,Commercial,52,440
3035,2019,2,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้านแฝด,Twin house,155,1818
158,2017,12,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,857,8154
1423,2016,12,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,159,1208
2008,2020,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,โฮมออฟฟิศ,Home office,24,70
2481,2017,1,ปทุมธานี,Pathum Thani,สามโคก,SAM KHOK,บ้าน,Detached House,121,1131
